id,month,date_of_week,year,hour,police_division,fatalities,injury_collision,fail_to_remain_collision,property_damage_collision,automobile,motorcycle,passenger,bicycle,pedestrian
161,January,Thursday,2014,23,D52,0,0,1,0,1,0,0,NO,0
162,January,Thursday,2014,10,D23,0,0,0,1,1,0,0,NO,0
163,January,Thursday,2014,19,NSA,0,0,1,0,1,0,0,NO,0
164,January,Thursday,2014,12,D43,0,0,0,1,1,0,0,NO,0
165,January,Thursday,2014,12,D32,0,0,0,1,1,0,0,NO,0
166,January,Thursday,2014,10,D31,0,0,0,1,1,0,0,NO,0
167,January,Thursday,2014,13,D42,0,0,0,1,1,0,0,NO,0
168,January,Thursday,2014,14,D42,0,0,1,0,1,0,0,NO,0
169,January,Thursday,2014,19,D33,0,0,1,0,1,0,0,NO,0
170,January,Thursday,2014,12,D33,0,0,0,1,1,0,0,NO,0
171,January,Thursday,2014,17,D42,0,0,0,1,1,0,0,NO,0
172,January,Thursday,2014,13,D32,0,0,0,1,1,0,0,NO,0
173,January,Thursday,2014,14,D14,0,0,0,1,1,0,0,NO,0
174,January,Thursday,2014,12,D52,0,0,1,0,1,0,0,NO,0
175,January,Thursday,2014,13,D14,0,0,0,1,1,0,0,NO,0
176,January,Thursday,2014,13,D14,0,0,0,1,1,0,0,NO,0
177,January,Thursday,2014,0,NSA,0,0,1,0,1,0,0,NO,0
178,January,Thursday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
179,January,Thursday,2014,15,D31,0,1,0,0,1,0,1,NO,0
180,January,Thursday,2014,15,D55,0,0,0,1,1,0,0,NO,0
181,January,Thursday,2014,8,D42,0,0,0,1,1,0,0,NO,0
182,January,Thursday,2014,15,D13,0,0,0,1,1,0,0,NO,0
183,January,Thursday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
184,January,Thursday,2014,13,D14,0,0,0,1,1,0,0,NO,0
185,January,Thursday,2014,10,D32,0,1,0,0,1,0,0,NO,1
186,January,Thursday,2014,13,D14,0,1,0,0,1,0,1,NO,0
187,January,Thursday,2014,19,D22,0,1,0,0,1,0,0,NO,0
188,January,Thursday,2014,12,D22,0,0,0,1,1,0,0,NO,0
189,January,Thursday,2014,13,D11,0,0,0,1,1,0,0,NO,0
190,January,Thursday,2014,8,D41,0,0,0,1,1,0,0,NO,0
191,January,Thursday,2014,8,D43,0,0,1,0,1,0,0,NO,0
192,January,Thursday,2014,12,D33,0,0,0,1,1,0,0,NO,0
193,January,Thursday,2014,11,D33,0,0,0,1,1,0,0,NO,0
194,January,Thursday,2014,11,D53,0,0,1,0,1,0,0,NO,0
195,January,Thursday,2014,8,D33,0,0,1,0,1,0,0,NO,0
196,January,Thursday,2014,20,D32,0,0,0,1,1,0,0,NO,0
197,January,Thursday,2014,16,D14,0,0,0,1,1,0,0,NO,0
198,January,Thursday,2014,12,D33,0,0,0,1,1,0,0,NO,0
199,January,Thursday,2014,11,D32,0,1,0,0,1,0,0,NO,0
200,January,Thursday,2014,11,D55,0,0,0,1,1,0,0,NO,0
201,January,Thursday,2014,10,D23,0,1,0,0,1,0,0,NO,0
202,January,Thursday,2014,10,D51,0,0,0,1,1,0,0,NO,0
203,January,Thursday,2014,9,D43,0,0,0,1,1,0,0,NO,0
204,January,Thursday,2014,10,D23,0,1,0,0,1,0,0,NO,1
205,January,Thursday,2014,13,D42,0,1,0,0,1,0,0,NO,0
206,January,Thursday,2014,10,D32,0,0,0,1,1,0,0,NO,0
207,January,Thursday,2014,12,D51,0,0,0,1,1,0,0,NO,0
208,January,Thursday,2014,14,D33,0,0,0,1,1,0,0,NO,0
209,January,Thursday,2014,17,D13,0,0,0,1,1,0,0,NO,0
210,January,Thursday,2014,14,D42,0,0,1,0,1,0,0,NO,0
211,January,Thursday,2014,9,D32,0,0,0,1,1,0,0,NO,0
212,January,Thursday,2014,8,D51,0,0,0,1,1,0,0,NO,0
213,January,Thursday,2014,16,D33,0,0,0,1,1,0,0,NO,0
214,January,Thursday,2014,11,D52,0,0,1,0,1,0,0,NO,0
215,January,Thursday,2014,13,D22,0,0,0,1,1,0,0,NO,0
216,January,Thursday,2014,6,D11,0,0,0,1,1,0,0,NO,0
217,January,Thursday,2014,13,D11,0,0,0,1,1,0,0,NO,0
218,January,Thursday,2014,13,D33,0,0,1,0,1,0,0,NO,0
219,January,Thursday,2014,6,D55,0,0,0,1,1,0,0,NO,0
220,January,Thursday,2014,6,D14,0,1,0,0,1,0,0,NO,0
221,January,Thursday,2014,3,D41,0,0,0,1,1,0,0,NO,0
222,January,Thursday,2014,17,D33,0,0,0,1,1,0,0,NO,0
223,January,Thursday,2014,22,D11,0,0,0,1,1,0,0,NO,0
224,January,Thursday,2014,13,D13,0,0,0,1,1,0,0,NO,0
225,January,Thursday,2014,12,D43,0,0,0,1,1,0,0,NO,0
226,January,Thursday,2014,12,D22,0,0,0,1,1,0,0,NO,0
227,January,Thursday,2014,9,D42,0,0,0,1,1,0,0,NO,0
228,January,Thursday,2014,13,D55,0,0,0,1,1,0,0,NO,0
229,January,Thursday,2014,14,D52,0,0,0,1,1,0,0,NO,0
230,January,Thursday,2014,15,D12,0,0,0,1,1,0,0,NO,0
231,January,Thursday,2014,14,D14,0,0,0,1,1,0,0,NO,0
232,January,Thursday,2014,17,D43,0,0,0,1,1,0,0,NO,0
233,January,Thursday,2014,14,D41,0,0,0,1,1,0,0,NO,0
234,January,Thursday,2014,13,D14,0,0,0,1,1,0,0,NO,0
235,January,Thursday,2014,10,D43,0,0,1,0,1,0,0,NO,0
236,January,Thursday,2014,21,D41,0,0,1,0,1,0,0,NO,0
237,January,Thursday,2014,15,D14,0,0,1,0,1,0,0,NO,0
238,January,Thursday,2014,12,D53,0,0,0,1,1,0,0,NO,0
239,January,Thursday,2014,15,D53,0,0,0,1,1,0,0,NO,0
240,January,Thursday,2014,8,D42,0,0,1,0,1,0,0,NO,0
241,January,Thursday,2014,11,D42,0,0,1,0,1,0,0,NO,0
242,January,Thursday,2014,18,D42,0,0,1,0,1,0,0,NO,0
243,January,Thursday,2014,17,D52,0,0,1,0,1,0,0,NO,0
244,January,Thursday,2014,16,D41,0,0,0,1,1,0,0,NO,0
245,January,Thursday,2014,16,D43,0,0,0,1,1,0,0,NO,0
246,January,Thursday,2014,22,D11,0,0,0,1,1,0,0,NO,0
247,January,Thursday,2014,14,D53,0,0,0,1,1,0,0,NO,0
248,January,Friday,2014,9,NSA,0,0,1,0,1,0,0,NO,0
249,January,Friday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
250,January,Friday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
251,January,Friday,2014,18,NSA,0,0,1,0,1,0,0,NO,0
252,January,Friday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
253,January,Friday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
254,January,Friday,2014,18,NSA,0,0,0,1,1,0,0,NO,0
255,January,Friday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
256,January,Friday,2014,9,NSA,0,0,0,1,1,0,0,NO,0
257,January,Friday,2014,19,NSA,0,0,0,1,1,0,0,NO,0
258,January,Friday,2014,19,NSA,0,0,0,1,1,0,0,NO,0
259,January,Friday,2014,7,NSA,0,0,0,1,1,0,0,NO,0
260,January,Friday,2014,16,NSA,0,0,0,1,1,0,0,NO,0
261,January,Friday,2014,16,NSA,0,0,1,0,1,0,0,NO,0
262,January,Friday,2014,23,NSA,0,0,0,1,1,0,0,NO,0
263,January,Friday,2014,22,NSA,0,0,0,1,1,0,0,NO,0
264,January,Friday,2014,19,NSA,0,0,0,1,1,0,0,NO,0
265,January,Friday,2014,10,NSA,0,0,0,1,1,0,0,NO,0
266,January,Friday,2014,14,NSA,0,0,0,1,1,0,0,NO,0
267,January,Friday,2014,14,NSA,0,0,0,1,1,0,0,NO,0
268,January,Friday,2014,16,NSA,0,0,0,1,1,0,0,NO,0
269,January,Friday,2014,21,NSA,0,0,0,1,1,0,0,NO,0
270,January,Friday,2014,20,NSA,0,0,0,1,1,0,0,NO,0
271,January,Friday,2014,22,NSA,0,0,0,1,1,0,0,NO,0
272,January,Friday,2014,17,NSA,0,0,0,1,1,0,0,NO,0
273,January,Friday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
274,January,Friday,2014,15,NSA,0,0,0,1,1,0,0,NO,0
275,January,Friday,2014,10,NSA,0,0,0,1,1,0,0,NO,0
276,January,Friday,2014,14,NSA,0,0,1,0,1,0,0,NO,0
277,January,Friday,2014,16,NSA,0,0,0,1,1,0,0,NO,0
278,January,Friday,2014,16,D33,0,0,0,1,1,0,0,NO,0
279,January,Friday,2014,6,D14,0,1,0,0,1,0,0,NO,0
280,January,Friday,2014,20,NSA,0,1,0,0,1,0,1,NO,0
281,January,Friday,2014,17,D23,0,0,0,1,1,0,0,NO,0
282,January,Friday,2014,17,D33,0,0,0,1,1,0,0,NO,0
283,January,Friday,2014,8,D41,0,0,1,0,1,0,0,NO,0
284,January,Friday,2014,7,D41,0,0,1,0,1,0,0,NO,0
285,January,Friday,2014,13,NSA,0,0,0,1,1,0,0,NO,0
286,January,Friday,2014,7,NSA,0,1,0,0,1,0,1,NO,0
287,January,Friday,2014,6,D14,0,0,1,0,1,0,0,NO,0
288,January,Friday,2014,16,D51,0,0,0,1,1,0,0,NO,0
289,January,Friday,2014,15,D42,0,0,1,0,1,0,0,NO,0
290,January,Friday,2014,6,NSA,0,0,0,1,1,0,0,NO,0
291,January,Friday,2014,6,NSA,0,0,0,1,1,0,0,NO,0
292,January,Friday,2014,7,NSA,0,1,0,0,1,0,0,NO,0
293,January,Friday,2014,7,D11,0,1,0,0,1,0,0,NO,0
294,January,Friday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
295,January,Friday,2014,5,NSA,0,0,0,1,1,0,0,NO,0
296,January,Friday,2014,10,D31,0,0,0,1,1,0,0,NO,0
297,January,Friday,2014,14,NSA,0,0,0,1,1,0,0,NO,0
298,January,Friday,2014,22,NSA,0,0,0,1,1,0,0,NO,0
299,January,Friday,2014,22,D32,0,0,0,1,1,0,0,NO,0
300,January,Friday,2014,16,D52,0,1,0,0,1,0,1,NO,0
301,January,Friday,2014,16,D33,0,1,0,0,1,0,1,NO,0
302,January,Friday,2014,10,NSA,0,0,1,0,1,0,0,NO,0
303,January,Friday,2014,8,NSA,0,1,0,0,1,0,0,NO,0
304,January,Friday,2014,8,NSA,0,1,0,0,1,0,0,NO,0
305,January,Friday,2014,8,NSA,0,1,0,0,1,0,0,NO,0
306,January,Friday,2014,8,D13,0,0,0,1,1,0,0,NO,0
307,January,Friday,2014,7,D55,0,0,0,1,1,0,0,NO,0
308,January,Friday,2014,15,D23,0,0,0,1,1,0,0,NO,0
309,January,Friday,2014,8,D33,0,0,0,1,1,0,0,NO,0
310,January,Friday,2014,15,D22,0,0,0,1,1,0,0,NO,0
311,January,Friday,2014,15,D12,0,0,0,1,1,0,0,NO,0
312,January,Friday,2014,8,D33,0,0,0,1,1,0,0,NO,0
313,January,Friday,2014,8,D33,0,0,0,1,1,0,0,NO,0
314,January,Friday,2014,15,D55,0,1,0,0,1,0,0,NO,0
315,January,Friday,2014,17,D11,0,0,0,1,1,0,0,NO,0
316,January,Friday,2014,14,D51,0,0,0,1,1,0,0,NO,0
317,January,Friday,2014,8,D42,0,0,0,1,1,0,0,NO,0
318,January,Friday,2014,8,D14,0,0,0,1,1,0,0,NO,0
319,January,Friday,2014,1,D31,0,0,1,0,1,0,0,NO,0
320,January,Friday,2014,13,D13,0,0,0,1,1,0,0,NO,0
321,January,Friday,2014,7,D43,0,0,0,1,1,0,0,NO,0
322,January,Friday,2014,7,D42,0,0,0,1,1,0,0,NO,0
323,January,Friday,2014,13,D41,0,0,0,1,1,0,0,NO,0
324,January,Friday,2014,13,D22,0,1,0,0,1,0,1,NO,0
325,January,Friday,2014,8,D55,0,0,0,1,1,0,0,NO,0
326,January,Friday,2014,15,D42,0,0,0,1,1,0,0,NO,0
327,January,Friday,2014,7,D11,0,0,0,1,1,0,0,NO,0
328,January,Friday,2014,13,D55,0,0,0,1,1,0,0,NO,0
329,January,Friday,2014,8,D42,0,0,0,1,1,0,0,NO,0
330,January,Friday,2014,8,D23,0,0,0,1,1,0,0,NO,0
331,January,Friday,2014,12,D32,0,0,1,0,1,0,1,NO,0
332,January,Friday,2014,12,D52,0,0,0,1,1,0,0,NO,0
333,January,Friday,2014,7,D23,0,0,0,1,1,0,0,NO,0
334,January,Friday,2014,12,D23,0,0,0,1,1,0,0,NO,0
335,January,Friday,2014,9,D42,0,0,0,1,1,0,0,NO,0
336,January,Friday,2014,12,D23,0,1,0,0,1,0,0,NO,1
337,January,Friday,2014,8,D42,0,0,0,1,1,0,0,NO,0
338,January,Friday,2014,8,D41,0,0,0,1,1,0,0,NO,0
339,January,Friday,2014,8,D33,0,0,1,0,1,0,0,NO,0
340,January,Friday,2014,8,D42,0,0,0,1,1,0,0,NO,0
341,January,Friday,2014,10,D43,0,0,1,0,1,0,0,NO,0
342,January,Friday,2014,8,D33,0,0,0,1,1,0,0,NO,0
343,January,Friday,2014,9,D13,0,0,0,1,1,0,0,NO,0
344,January,Friday,2014,11,D42,0,1,0,0,1,0,1,NO,0
345,January,Friday,2014,9,D33,0,0,0,1,1,0,0,NO,0
346,January,Friday,2014,8,D33,0,1,0,0,1,0,0,NO,0
347,January,Friday,2014,8,D33,0,0,0,1,1,0,0,NO,0
348,January,Friday,2014,11,D42,0,0,0,1,1,0,0,NO,0
349,January,Friday,2014,8,D53,0,0,0,1,1,0,0,NO,0
350,January,Friday,2014,11,D31,0,1,0,0,1,0,0,NO,0
351,January,Friday,2014,9,D43,0,1,0,0,1,0,0,NO,0
352,January,Friday,2014,11,D14,0,1,0,0,1,0,1,YES,0
353,January,Friday,2014,9,D33,0,0,0,1,1,0,0,NO,0
354,January,Friday,2014,8,D51,0,0,0,1,1,0,0,NO,0
355,January,Friday,2014,9,D33,0,0,0,1,1,0,0,NO,0
356,January,Friday,2014,6,D12,0,0,0,1,1,0,0,NO,0
357,January,Friday,2014,8,D55,0,0,0,1,1,0,0,NO,0
358,January,Friday,2014,9,D22,0,0,0,1,1,0,0,NO,0
359,January,Friday,2014,10,D42,0,0,0,1,1,0,0,NO,0
360,January,Friday,2014,9,D13,0,0,0,1,1,0,0,NO,0
361,January,Friday,2014,11,D33,0,0,0,1,1,0,0,NO,0
362,January,Friday,2014,8,D41,0,0,1,0,1,0,0,NO,0
363,January,Friday,2014,9,D33,0,0,0,1,1,0,0,NO,0
364,January,Friday,2014,10,D41,0,1,0,0,1,0,0,NO,1
365,January,Friday,2014,9,D53,0,0,1,0,1,0,0,NO,0
366,January,Friday,2014,10,D32,0,0,0,1,1,0,0,NO,0
367,January,Friday,2014,10,D43,0,1,0,0,1,0,0,NO,0
368,January,Friday,2014,9,D51,0,1,0,0,1,0,0,NO,0
369,January,Friday,2014,8,D11,0,0,0,1,1,0,0,NO,0
370,January,Friday,2014,11,D14,0,0,0,1,1,0,0,NO,0
371,January,Friday,2014,12,D32,0,0,0,1,1,0,0,NO,0
372,January,Friday,2014,13,D42,0,0,0,1,1,0,0,NO,0
373,January,Friday,2014,12,D55,0,0,0,1,1,0,0,NO,0
374,January,Friday,2014,9,D32,0,1,0,0,1,0,0,NO,1
375,January,Friday,2014,8,NSA,0,0,0,1,1,0,0,NO,0
376,January,Friday,2014,9,D31,0,1,0,0,1,0,0,NO,0
377,January,Friday,2014,9,D43,0,1,0,0,1,0,0,NO,0
378,January,Friday,2014,9,D32,0,1,0,0,1,0,1,NO,1
379,January,Friday,2014,12,D42,0,0,1,0,1,0,0,NO,0
380,January,Friday,2014,8,D41,0,0,0,1,1,0,0,NO,0
381,January,Friday,2014,9,D43,0,1,0,0,1,0,0,NO,0
382,January,Friday,2014,8,D14,0,0,0,1,1,0,0,NO,0
383,January,Friday,2014,9,NSA,0,0,0,1,1,0,0,NO,0
384,January,Friday,2014,15,D55,0,0,0,1,1,0,0,NO,0
385,January,Friday,2014,14,D42,0,0,0,1,1,0,0,NO,0
386,January,Friday,2014,6,D12,0,0,0,1,1,0,0,NO,0
387,January,Friday,2014,8,D33,0,1,0,0,1,0,1,NO,0
388,January,Friday,2014,8,D14,0,1,0,0,1,0,0,NO,0
389,January,Friday,2014,8,D42,0,1,0,0,1,0,1,NO,0
390,January,Friday,2014,7,D41,0,1,0,0,1,0,1,NO,0
